Code,Name,Type,"Thermal", "Gross",Net,Operator,"NSSS supplier","Construction start","Grid connection","Commercial operation",Shut down
AM -18,ARMENIAN-1,PWR,1375,408,376,ANPPCJSC,FAEA,1969-7,1976-12,1977-10,1989-2
BE -1,BR-3,PWR,41,12,10,CEN/SCK,WH,1957-11,1962-10,1962-10,1987-6
BG -1,KOZLODUY-1,PWR,1375,440,408,KOZNPP,AEE,1970-4,1974-7,1974-10,2002-12
BG -2,KOZLODUY-2,PWR,1375,440,408,KOZNPP,AEE,1970-4,1975-8,1975-11,2002-12
BG -3,KOZLODUY-3,PWR,1375,440,408,KOZNPP,AEE,1973-10,1980-12,1981-1,2006-12
BG -4,KOZLODUY-4,PWR,1375,440,408,KOZNPP,AEE,1973-10,1982-5,1982-6,2006-12
CA -2,DOUGLAS POINT,PHWR,704,218,206,OH,AECL,1960-2,1967-1,1968-9,1984-5
CA -3,GENTILLY-1,HWLWR,792,266,250,HQ,AECL,1966-9,1971-4,1972-5,1977-6
CA -12,GENTILLY-2,PHWR,2156,675,635,HQ,AECL,1974-4,1982-12,1983-10,2012-12
CA -5,PICKERING-2,PHWR,1744,542,515,OPG,OH/AECL,1966-9,1971-10,1971-12,2007-5
CA -6,PICKERING-3,PHWR,1744,542,515,OPG,OH/AECL,1967-12,1972-5,1972-6,2008-10
CA -1,ROLPHTON NPD,PHWR,92,25,22,OH,CGE,1958-1,1962-6,1962-10,1987-8
FR -9,BUGEY-1,GCR,1954,555,540,EDF,FRAM,1965-12,1972-4,1972-7,1994-5
FR -2,CHINON A-1,GCR,300,80,70,EDF,LEVIVIER,1957-2,1963-6,1964-2,1973-4
FR -3,CHINON A-2,GCR,800,230,180,EDF,LEVIVIER,1959-8,1965-2,1965-2,1985-6
FR -4,CHINON A-3,GCR,1170,480,360,EDF,GTM,1961-3,1966-8,1966-8,1990-6
FR -5,CHOOZ-A (ARDENNES),PWR,1040,320,305,SENA,A/F/W,1962-1,1967-4,1967-4,1991-10
FR -6,EL-4 (MONTS D'ARREE),HWGCR,250,75,70,EDF,GAAA,1962-7,1967-7,1968-6,1985-7
FR -1B,G-2 (MARCOULE),GCR,260,43,39,COGEMA,SACM,1955-3,1959-4,1959-4,1980-2
FR -1,G-3 (MARCOULE),GCR,260,43,40,COGEMA,SACM,1956-3,1960-4,1960-4,1984-6
FR -10,PHENIX,FBR,345,142,130,CEA/EDF,CNCLNEY,1968-11,1973-12,1974-7,2010-2
FR -7,ST. LAURENT A-1,GCR,1650,500,390,EDF,FRAM,1963-10,1969-3,1969-6,1990-4
FR -8,ST. LAURENT A-2,GCR,1475,530,465,EDF,FRAM,1966-1,1971-8,1971-11,1992-5
FR -24,SUPER-PHENIX,FBR,3000,1242,1200,EDF,ASPALDO,1976-12,1986-1,1986-12,1998-12
DE -4,AVR JUELICH,HTGR,46,15,13,AVR,BBK,1961-8,1967-12,1969-5,1988-12
DE -12,BIBLIS-A,PWR,3517,1225,1167,RWE,KWU,1970-1,1974-8,1975-2,2011-8
DE -18,BIBLIS-B,PWR,3733,1300,1240,RWE,KWU,1972-2,1976-4,1977-1,2011-8
DE -13,BRUNSBUETTEL,BWR,2292,806,771,KKB,KWU,1970-4,1976-7,1977-2,2011-8
DE -23,GRAFENRHEINFELD,PWR,3765,1345,1275,E.ON,KWU,1975-1,1981-12,1982-6,2015-6
DE -502,GREIFSWALD-1,PWR,1375,440,408,EWN,AEE,1970-3,1973-12,1974-7,1990-2
DE -503,GREIFSWALD-2,PWR,1375,440,408,EWN,AEE,1970-3,1974-12,1975-4,1990-2
DE -504,GREIFSWALD-3,PWR,1375,440,408,EWN,AEE,1972-4,1977-10,1978-5,1990-2
DE -505,GREIFSWALD-4,PWR,1375,440,408,EWN,AEE,1972-4,1979-9,1979-11,1990-7
DE -506,GREIFSWALD-5,PWR,1375,440,408,EWN,AEE,1976-12,1989-4,1989-11,1989-11
DE -3,GUNDREMMINGEN-A,BWR,801,250,237,KGB,"AEG,GE",1962-12,1966-12,1967-4,1977-1
DE -26,GUNDREMMINGEN-B,BWR,3840,1344,1284,KGG,KWU,1976-7,1984-3,1984-7,2017-12
DE -7,HDR GROSSWELZHEIM,BWR,100,27,25,HDR,"AEG,KWU",1965-1,1969-10,1970-8,1971-4
DE -16,ISAR-1,BWR,2575,912,878,E.ON,KWU,1972-5,1977-12,1979-3,2011-8
DE -8,KNK II,FBR,58,21,17,KBG,IA,1974-9,1978-4,1979-3,1991-8
DE -20,KRUEMMEL,BWR,3690,1402,1346,KKK,KWU,1974-4,1983-9,1984-3,2011-8
DE -6,LINGEN,BWR,520,268,183,KWL,AEG,1964-10,1968-7,1968-10,1977-1
DE -22,MUELHEIM-KAERLICH,PWR,3760,1302,1219,KGG,BBR,1975-1,1986-3,1987-8,1988-9
DE -2,MZFR,PHWR,200,57,52,KBG,SIEMENS,1961-12,1966-3,1966-12,1984-5
DE -15,NECKARWESTHEIM-1,PWR,2497,840,785,EnKK,KWU,1972-2,1976-6,1976-12,2011-8
DE -11,NIEDERAICHBACH,HWGCR,321,106,100,KKN,"SIEM,KWU",1966-6,1973-1,1973-1,1974-7
DE -5,OBRIGHEIM,PWR,1050,357,340,EnBW,"SIEM,KWU",1965-3,1968-10,1969-3,2005-5
DE -14,PHILIPPSBURG-1,BWR,2575,926,890,EnKK,KWU,1970-10,1979-5,1980-3,2011-8
DE -24,PHILIPPSBURG-2,PWR,3950,1468,1402,EnKK,KWU,1977-7,1984-12,1985-4,2019-12
DE -501,RHEINSBERG,PWR,265,70,62,EWN,AEE,1960-1,1966-5,1966-10,1990-6
DE -10,STADE,PWR,1900,672,640,E.ON,KWU,1967-12,1972-1,1972-5,2003-11
DE -19,THTR-300,HTGR,760,308,296,HKG,HRB,1971-5,1985-11,1987-6,1988-9
DE -17,UNTERWESER,PWR,3900,1410,1345,E.ON,KWU,1972-7,1978-9,1979-9,2011-8
DE -1,VAK KAHL,BWR,60,16,15,VAK,"GE,AEG",1958-7,1961-6,1962-2,1985-11
DE -9,WUERGASSEN,BWR,1912,670,640,PE,"AEG,KWU",1968-1,1971-12,1975-11,1994-8
IT -4,CAORSO,BWR,2651,882,860,SOGIN,AMN/GETS,1970-1,1978-5,1981-12,1990-7
IT -3,ENRICO FERMI,PWR,870,270,260,SOGIN,EL/WEST,1961-7,1964-10,1965-1,1990-7
IT -2,GARIGLIANO,BWR,506,160,150,SOGIN,GE,1959-11,1964-1,1964-6,1982-3
IT -1,LATINA,GCR,660,160,153,SOGIN,TNPG,1958-11,1963-5,1964-1,1987-12
JP -20,FUGEN ATR,HWLWR,557,165,148,JAEA,HITACHI,1972-5,1978-7,1979-3,2003-3
JP -5,FUKUSHIMA-DAIICHI-1,BWR,1380,460,439,TEPCO,GE/GETSC,1967-7,1970-11,1971-3,2011-5
JP -9,FUKUSHIMA-DAIICHI-2,BWR,2381,784,760,TEPCO,GE/T,1969-6,1973-12,1974-7,2011-5
JP -10,FUKUSHIMA-DAIICHI-3,BWR,2381,784,760,TEPCO,TOSHIBA,1970-12,1974-10,1976-3,2011-5
JP -16,FUKUSHIMA-DAIICHI-4,BWR,2381,784,760,TEPCO,HITACHI,1973-2,1978-2,1978-10,2011-5
JP -17,FUKUSHIMA-DAIICHI-5,BWR,2381,784,760,TEPCO,TOSHIBA,1972-5,1977-9,1978-4,2013-12
JP -18,FUKUSHIMA-DAIICHI-6,BWR,3293,1100,1067,TEPCO,GE/T,1973-10,1979-5,1979-10,2013-12
JP -25,FUKUSHIMA-DAINI-1,BWR,3293,1100,1067,TEPCO,TOSHIBA,1976-3,1981-7,1982-4,2019-9
JP -26,FUKUSHIMA-DAINI-2,BWR,3293,1100,1067,TEPCO,HITACHI,1979-5,1983-6,1984-2,2019-9
JP -35,FUKUSHIMA-DAINI-3,BWR,3293,1100,1067,TEPCO,TOSHIBA,1981-3,1984-12,1985-6,2019-9
JP -38,FUKUSHIMA-DAINI-4,BWR,3293,1100,1067,TEPCO,HITACHI,1981-5,1986-12,1987-8,2019-9
JP -12,GENKAI-1,PWR,1650,559,529,KYUSHU,MHI,1971-9,1975-2,1975-10,2015-4
JP -27,GENKAI-2,PWR,1650,559,529,KYUSHU,MHI,1977-2,1980-6,1981-3,2019-4
JP -11,HAMAOKA-1,BWR,1593,540,515,CHUBU,TOSHIBA,1971-6,1974-8,1976-3,2009-1
JP -24,HAMAOKA-2,BWR,2436,840,806,CHUBU,TOSHIBA,1974-6,1978-5,1978-11,2009-1
JP -23,IKATA-1,PWR,1650,566,538,SHIKOKU,MHI,1973-9,1977-2,1977-9,2016-5
JP -32,IKATA-2,PWR,1650,566,538,SHIKOKU,MHI,1978-8,1981-8,1982-3,2018-5
JP -1,JPDR,BWR,90,13,12,JAEA,GE,1960-12,1963-10,1965-3,1976-3
JP -4,MIHAMA-1,PWR,1031,340,320,KEPCO,WH,1967-2,1970-8,1970-11,2015-4
JP -6,MIHAMA-2,PWR,1456,500,470,KEPCO,MHI,1968-5,1972-4,1972-7,2015-4
JP -31,MONJU,FBR,714,280,246,JAEA,T/H/F/M,1986-5,1995-8,NA,2017-12
JP -15,OHI-1,PWR,3423,1175,1120,KEPCO,WH,1972-10,1977-12,1979-3,2018-3
JP -19,OHI-2,PWR,3423,1175,1120,KEPCO,WH,1972-12,1978-10,1979-12,2018-3
JP -22,ONAGAWA-1,BWR,1593,524,498,TOHOKU,TOSHIBA,1980-7,1983-11,1984-6,2018-12
JP -7,SHIMANE-1,BWR,1380,460,439,CHUGOKU,HITACHI,1970-7,1973-12,1974-3,2015-4
JP -2,TOKAI-1,GCR,587,166,137,JAPCO,GEC,1961-3,1965-11,1966-7,1998-3
JP -3,TSURUGA-1,BWR,1070,357,340,JAPCO,GE,1966-11,1969-11,1970-3,2015-4
KZ -10,AKTAU,FBR,1000,90,52,MAEC-KAZ,MAEC-KAZ,1964-10,1973-7,1973-7,1999-4
KR -1,KORI-1,PWR,1729,607,576,KHNP,WH,1972-8,1977-6,1978-4,2017-6
KR -3,WOLSONG-1,PHWR,2061,683,661,KHNP,AECL,1977-10,1982-12,1983-4,2019-12
LT -46,IGNALINA-1,LWGR,4800,1300,1185,INPP,MAEP,1977-5,1983-12,1985-5,2004-12
LT -47,IGNALINA-2,LWGR,4800,1300,1185,INPP,MAEP,1978-1,1987-8,1987-12,2009-12
NL -1,DODEWAARD,BWR,183,60,55,BV GKN,RDM,1965-5,1968-10,1969-3,1997-3
RU -1,APS-1 OBNINSK,LWGR,30,6,5,MSM,MSM,1951-1,1954-6,1954-12,2002-4
RU -3,BELOYARSK-1,LWGR,286,108,102,REA,MSM,1958-6,1964-4,1964-4,1983-1
RU -6,BELOYARSK-2,LWGR,530,160,146,REA,MSM,1962-1,1967-12,1969-12,1990-1
RU -141,BILIBINO-1,LWGR,62,12,11,REA,AEM,1970-1,1974-1,1974-4,2019-1
RU -15,LENINGRAD-1,LWGR,3200,1000,925,REA,AEM,1970-3,1973-12,1974-11,2018-12
RU -4,NOVOVORONEZH-1,PWR,760,210,197,REA,MSM,1957-7,1964-9,1964-12,1988-2
RU -8,NOVOVORONEZH-2,PWR,1320,365,336,REA,MSM,1964-6,1969-12,1970-4,1990-8
RU -9,NOVOVORONEZH-3,PWR,1375,417,385,REA,AEM,1967-7,1971-12,1972-6,2016-12
SK -1,BOHUNICE A1,HWGCR,560,143,93,JAVYS,SKODA,1958-8,1972-12,1972-12,1977-2
SK -2,BOHUNICE-1,PWR,1375,440,408,JAVYS,AEE,1972-4,1978-12,1980-4,2006-12
SK -3,BOHUNICE-2,PWR,1375,440,408,JAVYS,AEE,1972-4,1980-3,1981-1,2008-12
ES -1,JOSE CABRERA-1,PWR,510,150,141,UFG,WH,1964-6,1968-7,1969-8,2006-4
ES -2,SANTA MARIA DE GARONA,BWR,1381,466,446,NUCLENOR,GE,1966-9,1971-3,1971-5,2017-8
ES -3,VANDELLOS-1,GCR,1670,500,480,HIFRENSA,CEA,1968-6,1972-5,1972-8,1990-7
SE -1,AGESTA,PHWR,80,12,10,SVAFO,ABBATOM,1957-12,1964-5,1964-5,1974-6
SE -6,BARSEBACK-1,BWR,1800,615,600,BKAB,ASEASTAL,1971-2,1975-5,1975-7,1999-11
SE -8,BARSEBACK-2,BWR,1800,615,600,BKAB,ABBATOM,1973-1,1977-3,1977-7,2005-5
SE -2,OSKARSHAMN-1,BWR,1375,492,473,OKG,ABBATOM,1966-8,1971-8,1972-2,2017-6
SE -3,OSKARSHAMN-2,BWR,1800,661,638,OKG,ABBATOM,1969-9,1974-10,1975-1,2016-12
SE -5,RINGHALS-2,PWR,2652,963,852,RAB,WH,1970-10,1974-8,1975-5,2019-12
CH -8,LUCENS,HWGCR,28,7,6,EOS,NGA,1962-4,1968-1,NA,1969-1
CH -2,MUEHLEBERG,BWR,1097,390,373,BKW,GETSCO,1967-3,1971-7,1972-11,2019-12
GB -3A,BERKELEY-1,GCR,620,166,138,ML,TNPG,1957-1,1962-6,1962-6,1989-3
GB -3B,BERKELEY-2,GCR,620,166,138,ML,TNPG,1957-1,1962-6,1962-10,1988-10
GB -4A,BRADWELL-1,GCR,481,146,123,ML,TNPG,1957-1,1962-7,1962-7,2002-3
GB -4B,BRADWELL-2,GCR,481,146,123,ML,TNPG,1957-1,1962-7,1962-11,2002-3
GB -1A,CALDER HALL-1,GCR,268,60,49,SL,UKAEA,1953-8,1956-8,1956-10,2003-3
GB -1B,CALDER HALL-2,GCR,268,60,49,SL,UKAEA,1953-8,1957-2,1957-2,2003-3
GB -1C,CALDER HALL-3,GCR,268,60,49,SL,UKAEA,1955-8,1958-3,1958-5,2003-3
GB -1D,CALDER HALL-4,GCR,268,60,49,SL,UKAEA,1955-8,1959-4,1959-4,2003-3
GB -2A,CHAPELCROSS-1,GCR,260,60,48,ML,UKAEA,1955-10,1959-2,1959-3,2004-6
GB -2B,CHAPELCROSS-2,GCR,260,60,48,ML,UKAEA,1955-10,1959-7,1959-8,2004-6
GB -2C,CHAPELCROSS-3,GCR,260,60,48,ML,UKAEA,1955-10,1959-11,1959-12,2004-6
GB -2D,CHAPELCROSS-4,GCR,260,60,48,ML,UKAEA,1955-10,1960-1,1960-3,2004-6
GB -14,DOUNREAY DFR,FBR,60,15,11,UKAEA,UKAEA,1955-3,1962-10,1962-10,1977-3
GB -15,DOUNREAY PFR,FBR,600,250,234,UKAEA,TNPG,1966-1,1975-1,1976-7,1994-3
GB -9A,DUNGENESS A-1,GCR,840,230,225,ML,TNPG,1960-7,1965-9,1965-10,2006-12
GB -9B,DUNGENESS A-2,GCR,840,230,225,ML,TNPG,1960-7,1965-11,1965-12,2006-12
GB -7A,HINKLEY POINT A-1,GCR,900,267,235,ML,EE/B&W/T,1957-11,1965-2,1965-3,2000-5
GB -7B,HINKLEY POINT A-2,GCR,900,267,235,ML,EE/B&W/T,1957-11,1965-3,1965-5,2000-5
GB -6A,HUNTERSTON A-1,GCR,595,173,150,ML,GEC,1957-10,1964-2,1964-2,1990-3
GB -6B,HUNTERSTON A-2,GCR,595,173,150,ML,GEC,1957-10,1964-6,1964-7,1989-12
GB -11A,OLDBURY A-1,GCR,730,230,217,ML,TNPG,1962-5,1967-11,1967-12,2012-2
GB -11B,OLDBURY A-2,GCR,660,230,217,ML,TNPG,1962-5,1968-4,1968-9,2011-6
GB -10A,SIZEWELL A-1,GCR,1010,245,210,ML,EE/B&W/T,1961-4,1966-1,1966-3,2006-12
GB -10B,SIZEWELL A-2,GCR,1010,245,210,ML,EE/B&W/T,1961-4,1966-4,1966-9,2006-12
GB -8A,TRAWSFYNYDD-1,GCR,850,235,195,ML,APC,1959-7,1965-1,1965-3,1991-2
GB -8B,TRAWSFYNYDD-2,GCR,850,235,195,ML,APC,1959-7,1965-2,1965-3,1991-2
GB -5,WINDSCALE AGR,GCR,120,36,24,UKAEA,UKAEA,1958-11,1963-2,1963-3,1981-4
GB -12,WINFRITH SGHWR,SGHWR,318,100,92,UKAEA,ICL/FE,1963-5,1967-12,1968-1,1990-9
GB -13A,WYLFA-1,GCR,1650,530,490,ML,EE/B&W/T,1963-9,1971-1,1971-11,2015-12
GB -13B,WYLFA-2,GCR,1920,540,490,ML,EE/B&W/T,1963-9,1971-7,1972-1,2012-4
UA -25,CHERNOBYL-1,LWGR,3200,800,740,MTE,FAEA,1970-3,1977-9,1978-5,1996-11
UA -26,CHERNOBYL-2,LWGR,3200,1000,925,MTE,FAEA,1973-2,1978-12,1979-5,1991-10
UA -42,CHERNOBYL-3,LWGR,3200,1000,925,MTE,FAEA,1976-3,1981-12,1982-6,2000-12
UA -43,CHERNOBYL-4,LWGR,3200,1000,925,MTE,FAEA,1979-4,1983-12,1984-3,1986-4
US -155,BIG ROCK POINT,BWR,240,71,67,CPC,GE,1960-5,1962-12,1963-3,1997-8
US -014,BONUS,BWR,50,18,17,DOE/PRWR,GNEPRWRA,1960-1,1964-8,1965-9,1968-6
US -302,CRYSTAL RIVER-3,PWR,2568,890,860,PROGRESS,B&W,1968-9,1977-1,1977-3,2013-2
US -144,CVTR,PHWR,65,19,17,CVPA,WH,1960-1,1963-12,1963-12,1967-1
US -10,DRESDEN-1,BWR,700,207,197,EXELON,GE,1956-5,1960-4,1960-7,1978-10
US -011,ELK RIVER,BWR,58,24,22,RCPA,AC,1959-1,1963-8,1964-7,1968-2
US -16,FERMI-1,FBR,200,65,61,DTEDISON,UEC,1956-8,1966-8,1966-8,1972-11
US -285,FORT CALHOUN-1,PWR,1500,512,482,EXELON,CE,1968-6,1973-8,1973-9,2016-10
US -267,FORT ST. VRAIN,HTGR,842,342,330,PSCC,GA,1968-9,1976-12,1979-7,1989-8
US -018,GE VALLECITOS,BWR,50,24,24,GE,GE,1956-1,1957-10,1957-10,1963-12
US -213,HADDAM NECK,PWR,1825,603,560,CYAPC,WH,1964-5,1967-8,1968-1,1996-12
US -077,HALLAM,X,256,84,75,AEC/NPPD,GE,1959-1,1963-9,1963-11,1964-9
US -133,HUMBOLDT BAY,BWR,220,65,63,PG&E,GE,1960-11,1963-4,1963-8,1976-7
US -013,INDIAN POINT-1,PWR,615,277,257,ENTERGY,B&W,1956-5,1962-9,1962-10,1974-10
US -305,KEWAUNEE,PWR,1772,595,566,DOMINION,WH,1968-8,1974-4,1974-6,2013-5
US -409,LACROSSE,BWR,165,55,48,DPC,AC,1963-3,1968-4,1969-11,1987-4
US -309,MAINE YANKEE,PWR,2630,900,860,MYAPC,CE,1968-10,1972-11,1972-12,1997-8
US -245,MILLSTONE-1,BWR,2011,684,641,DOMINION,GE,1966-5,1970-11,1971-3,1998-7
US -219,OYSTER CREEK,BWR,1930,652,619,EXELON,GE,1964-12,1969-9,1969-12,2018-9
US -130,PATHFINDER,BWR,220,63,59,NMC,AC,1959-1,1966-7,1966-8,1967-10
US -171,PEACH BOTTOM-1,HTGR,115,42,40,EXELON,GA,1962-2,1967-1,1967-6,1974-11
US -293,PILGRIM-1,BWR,2028,711,677,ENTERGY,GE,1968-8,1972-7,1972-12,2019-5
US -012,PIQUA,X,46,12,12,CofPiqua,GE,1960-1,1963-7,1963-11,1966-1
US -312,RANCHO SECO-1,PWR,2772,917,873,SMUD,B&W,1969-4,1974-10,1975-4,1989-6
US -206,SAN ONOFRE-1,PWR,1347,456,436,SCE,WH,1964-5,1967-7,1968-1,1992-11
US -361,SAN ONOFRE-2,PWR,3438,1127,1070,SCE,CE,1974-3,1982-9,1983-8,2013-6
US -362,SAN ONOFRE-3,PWR,3438,1127,1080,SCE,CE,1974-3,1983-9,1984-4,2013-6
US -146,SAXTON,PWR,24,3,3,SNEC,GE,1960-1,1967-3,1967-3,1972-5
US -001,SHIPPINGPORT,PWR,236,68,60,DOE DUQU,WH,1954-1,1957-12,1958-5,1982-10
US -322,SHOREHAM,BWR,2436,849,820,LIPA,GE,1972-11,1986-8,1986-8,1989-5
US -289,THREE MILE ISLAND-1,PWR,2568,880,819,EXELON,B&W,1968-5,1974-6,1974-9,2019-9
US -320,THREE MILE ISLAND-2,PWR,2772,959,880,GPU,B&W,1969-11,1978-4,1978-12,1979-3
US -344,TROJAN,PWR,3411,1155,1095,PORTGE,WH,1970-2,1975-12,1976-5,1992-11
US -271,VERMONT YANKEE,BWR,1912,635,605,ENTERGY,GE,1967-12,1972-9,1972-11,2014-12
US -29,YANKEE NPS,PWR,600,180,167,YAEC,WH,1957-11,1960-11,1961-7,1991-10
US -295,ZION-1,PWR,3250,1085,1040,EXELON,WH,1968-12,1973-6,1973-12,1998-2
US -304,ZION-2,PWR,3250,1085,1040,EXELON,WH,1968-12,1973-12,1974-9,1998-2
,DUANE ARNOLD-1,,,,,,,,,,2020-10
,FESSENHEIM-1,,,,,,,,,,2020-2
,FESSENHEIM-2,,,,,,,,,,2020-6
,INDIAN POINT-2,,,,,,,,,,2020-4
,LENINGRAD-2,,,,,,,,,,2020-11
,RINGHALS-1,,,,,,,,,,2020-12
,KUOSHENG-1,,,,,,,,,,2021-7