,Country,Sitename,Location,Status,Gross (MWe),Capacity (MWt),Mean LF (%),2015 LF (%),lat (-90 to 90),lng (-180 to 180),alt (m),,
FR,FRANCE,CIVAUX-1,Vienne,Operational,1561,4270,75.9,88.9,46.45667,0.65278,135.8,PRIS,Map
FR,FRANCE,CIVAUX-2,Vienne,Operational,1561,4270,75.9,68.1,46.45667,0.65278,135.8,PRIS,Map
FR,FRANCE,ST. LAURENT A-2,Loir-et-Cher,Permanent Shutdown,530,1475,54.1,0,47.72,1.5775,130.4,PRIS,Map
FR,FRANCE,BUGEY-1,Ain,Permanent Shutdown,555,1954,53.2,0,45.79833,5.27083,249.7,PRIS,Map
GB,UNITED KINGDOM,CALDER HALL-1,"Copeland District, Cumbria",Permanent Shutdown,60,268,76.9,0,54.4205,-3.4975,79.5,PRIS,Map
GB,UNITED KINGDOM,CALDER HALL-2,"Copeland District, Cumbria",Permanent Shutdown,60,268,76.9,0,54.4205,-3.4975,79.5,PRIS,Map
GB,UNITED KINGDOM,CALDER HALL-3,"Copeland District, Cumbria",Permanent Shutdown,60,268,76.9,0,54.4205,-3.4975,79.5,PRIS,Map
GB,UNITED KINGDOM,CALDER HALL-4,UNKNOWN LOCATION,Permanent Shutdown,60,268,76.9,0,0,0,-3474.8,PRIS,Map
GB,UNITED KINGDOM,SIZEWELL A-1,"Suffolk Coastal District, Suffolk",Permanent Shutdown,245,1010,74.7,0,52.215,1.61972,48.4,PRIS,Map
GB,UNITED KINGDOM,SIZEWELL A-2,"Suffolk Coastal District, Suffolk",Permanent Shutdown,245,1010,71.3,0,52.215,1.61972,48.4,PRIS,Map
GB,UNITED KINGDOM,OLDBURY A-1,South Gloucestershire,Permanent Shutdown,230,730,76.2,0,51.648889,-2.570833,59.7,PRIS,Map
GB,UNITED KINGDOM,OLDBURY A-2,South Gloucestershire,Permanent Shutdown,230,660,81.3,0,51.648889,-2.570833,59.7,PRIS,Map
GB,UNITED KINGDOM,WINFRITH SGHWR,"Purbeck District, Dorset",Permanent Shutdown,100,318,60.7,0,50.682,-2.261,74.5,PRIS,Map
GB,UNITED KINGDOM,WYLFA-1,"Llanbadrig, Isle of Anglesey",Permanent Shutdown,530,1650,70.3,76.3,53.417,-4.483,69.6,PRIS,Map
GB,UNITED KINGDOM,WYLFA-2,"Llanbadrig, Isle of Anglesey",Permanent Shutdown,540,1920,69.8,0,53.417,-4.483,69.6,PRIS,Map
GB,UNITED KINGDOM,DOUNREAY DFR,Highland,Permanent Shutdown,15,60,0,0,58.57814,-3.75233,62.7,PRIS,Map
GB,UNITED KINGDOM,DOUNREAY PFR,Highland,Permanent Shutdown,250,600,26.9,0,58.57814,-3.75233,62.7,PRIS,Map
GB,UNITED KINGDOM,HINKLEY POINT B-1,"West Somerset District, Somerset",Operational,655,1494,77.1,90.2,51.209034,-3.127477,62.1,PRIS,Map
GB,UNITED KINGDOM,HINKLEY POINT B-2,"West Somerset District, Somerset",Operational,655,1494,73.5,99.4,51.209034,-3.127477,62.1,PRIS,Map
GB,UNITED KINGDOM,HUNTERSTON B-1,North Ayrshire,Operational,644,1496,71,91.3,55.72209,-4.89009,73.4,PRIS,Map
GB,UNITED KINGDOM,HUNTERSTON B-2,North Ayrshire,Operational,644,1496,70.2,66.7,55.72209,-4.89009,73.4,PRIS,Map
GB,UNITED KINGDOM,DUNGENESS B-1,"Shepway District, Kent",Operational,615,1500,41.9,36,50.913889,0.963889,50.0,PRIS,Map
GB,UNITED KINGDOM,DUNGENESS B-2,"Shepway District, Kent",Operational,615,1500,49.4,60.3,50.913889,0.963889,50.0,PRIS,Map
GB,UNITED KINGDOM,HARTLEPOOL A-1,Hartlepool,Operational,655,1500,67.6,60.6,54.635,-1.18083,54.3,PRIS,Map
GB,UNITED KINGDOM,HARTLEPOOL A-2,Hartlepool,Operational,655,1500,69.4,52,54.635,-1.18083,54.3,PRIS,Map
GB,UNITED KINGDOM,CHAPELCROSS-1,Dumfries and Galloway,Permanent Shutdown,60,260,85.5,0,55.01566,-3.22605,134.5,PRIS,Map
GB,UNITED KINGDOM,CHAPELCROSS-2,Dumfries and Galloway,Permanent Shutdown,60,260,85.5,0,55.01566,-3.22605,134.5,PRIS,Map
GB,UNITED KINGDOM,CHAPELCROSS-3,Dumfries and Galloway,Permanent Shutdown,60,260,85.5,0,55.01566,-3.22605,134.5,PRIS,Map
GB,UNITED KINGDOM,CHAPELCROSS-4,Dumfries and Galloway,Permanent Shutdown,60,260,85.5,0,55.01566,-3.22605,134.5,PRIS,Map
GB,UNITED KINGDOM,HEYSHAM A-1,"Lancaster District, Lancashire",Operational,625,1500,67.4,21.1,54.02889,-2.91611,59.7,PRIS,Map
GB,UNITED KINGDOM,HEYSHAM A-2,"Lancaster District, Lancashire",Operational,625,1500,66.5,55.1,54.02889,-2.91611,59.7,PRIS,Map
GB,UNITED KINGDOM,HEYSHAM B-1,"Lancaster District, Lancashire",Operational,680,1550,77.4,97.8,54.02889,-2.91611,59.7,PRIS,Map
GB,UNITED KINGDOM,HEYSHAM B-2,"Lancaster District, Lancashire",Operational,680,1550,75,97.5,54.02889,-2.91611,59.7,PRIS,Map
GB,UNITED KINGDOM,TORNESS-1,East Lothian,Operational,682,1623,71.6,72.7,55.96799,-2.40908,64.3,PRIS,Map
GB,UNITED KINGDOM,TORNESS-2,East Lothian,Operational,682,1623,72.3,90.5,55.96799,-2.40908,64.3,PRIS,Map
GB,UNITED KINGDOM,SIZEWELL B,"Suffolk Coastal District, Suffolk",Operational,1250,3425,83,84.1,52.215,1.61972,48.4,PRIS,Map
GB,UNITED KINGDOM,BERKELEY-1,"Stroud District, Gloucestershire",Permanent Shutdown,166,620,58.2,0,51.6925,-2.493611,55.3,PRIS,Map
GB,UNITED KINGDOM,BERKELEY-2,"Stroud District, Gloucestershire",Permanent Shutdown,166,620,58,0,51.6925,-2.493611,55.3,PRIS,Map
GB,UNITED KINGDOM,BRADWELL-1,"Maldon District, Essex",Permanent Shutdown,146,481,65.5,0,51.74139,0.89694,51.2,PRIS,Map
GB,UNITED KINGDOM,BRADWELL-2,"Maldon District, Essex",Permanent Shutdown,146,481,65.5,0,51.74139,0.89694,51.2,PRIS,Map
GB,UNITED KINGDOM,WINDSCALE AGR,UNKNOWN LOCATION,Permanent Shutdown,36,120,59.8,0,0,0,-3474.8,PRIS,Map
GB,UNITED KINGDOM,HUNTERSTON A-1,North Ayrshire,Permanent Shutdown,173,595,81.6,0,55.72222,-4.89,64.8,PRIS,Map
GB,UNITED KINGDOM,HUNTERSTON A-2,North Ayrshire,Permanent Shutdown,173,595,81.6,0,55.72209,-4.89009,64.9,PRIS,Map
GB,UNITED KINGDOM,HINKLEY POINT A-1,"West Somerset District, Somerset",Permanent Shutdown,267,900,72.4,0,51.208739,-3.133743,59.2,PRIS,Map
GB,UNITED KINGDOM,HINKLEY POINT A-2,"West Somerset District, Somerset",Permanent Shutdown,267,900,72.4,0,51.209,-3.127,57.2,PRIS,Map
GB,UNITED KINGDOM,TRAWSFYNYDD-1,"Maentwrog, Gwynedd",Permanent Shutdown,235,850,79.6,0,52.9248639,-3.9484389,250.6,PRIS,Map
GB,UNITED KINGDOM,TRAWSFYNYDD-2,"Maentwrog, Gwynedd",Permanent Shutdown,235,850,79.6,0,52.9248639,-3.9484389,250.6,PRIS,Map
GB,UNITED KINGDOM,DUNGENESS A-1,"Shepway District, Kent",Permanent Shutdown,230,840,74,0,50.913889,0.963889,38.0,PRIS,Map
GB,UNITED KINGDOM,DUNGENESS A-2,"Shepway District, Kent",Permanent Shutdown,230,840,74.9,0,50.913889,0.963889,38.0,PRIS,Map
HU,HUNGARY,PAKS-1,Paksi,Operational,500,1485,87.1,83,46.5725,18.85417,137.6,PRIS,Map
HU,HUNGARY,PAKS-2,Paksi,Operational,500,1485,82.5,93.9,46.5725,18.85417,137.6,PRIS,Map
HU,HUNGARY,PAKS-3,Paksi,Operational,500,1485,87.2,91.8,46.5725,18.85417,137.6,PRIS,Map
HU,HUNGARY,PAKS-4,Paksi,Operational,500,1485,89.1,92.9,46.5725,18.85417,137.6,PRIS,Map
IN,INDIA,TARAPUR-1,"Palghar, Maharashtra",Operational,160,530,63.1,73.1,19.8289806,72.6612056,-65.4,PRIS,Map
IN,INDIA,KAKRAPAR-2,"Surat, Maharashtra",Operational,220,801,74.1,81.3,21.23861,73.35,-13.4,PRIS,Map
IN,INDIA,RAJASTHAN-3,"Chittaurgarh, Rajasthan",Operational,220,801,75.6,88.4,24.87222,75.61389,312.1,PRIS,Map
IN,INDIA,RAJASTHAN-4,"Chittaurgarh, Rajasthan",Operational,220,801,77.4,100.5,24.87222,75.61389,312.1,PRIS,Map
IN,INDIA,KAIGA-1,"Uttara Kannada, Karnataka",Operational,220,801,69.3,81,14.8653222,74.4396417,-25.2,PRIS,Map
IN,INDIA,KAIGA-2,"Uttara Kannada, Karnataka",Operational,220,801,68.9,74.2,14.8653222,74.4396417,-25.2,PRIS,Map
IN,INDIA,KAIGA-3,"Uttara Kannada, Karnataka",Operational,220,800,58,79.1,14.8653222,74.4396417,-25.2,PRIS,Map
IN,INDIA,KAIGA-4,"Palghar, Maharashtra",Operational,220,800,71.8,82.8,19.83083,72.65833,-66.0,PRIS,Map
IN,INDIA,RAJASTHAN-5,"Chittaurgarh, Rajasthan",Operational,220,801,92.9,85.2,24.87222,75.61389,312.1,PRIS,Map
IN,INDIA,TARAPUR-2,"Palghar, Maharashtra",Operational,160,530,63.7,56.4,19.8289806,72.6612056,-65.4,PRIS,Map
IN,INDIA,RAJASTHAN-6,"Chittaurgarh, Rajasthan",Operational,220,801,77.7,69.6,24.87222,75.61389,312.1,PRIS,Map
IN,INDIA,RAJASTHAN-7,"Chittaurgarh, Rajasthan",Under Construction,700,2177,0,0,24.87222,75.61389,312.1,PRIS,Map
IN,INDIA,RAJASTHAN-8,"Chittaurgarh, Rajasthan",Under Construction,700,2177,0,0,24.87222,75.61389,312.1,PRIS,Map
IN,INDIA,TARAPUR-3,"Palghar, Maharashtra",Operational,540,1730,73.6,94.3,19.8289806,72.6612056,-65.4,PRIS,Map
IN,INDIA,TARAPUR-4,"Palghar, Maharashtra",Operational,540,1730,60.9,86.7,19.8289806,72.6612056,-65.4,PRIS,Map
IN,INDIA,RAJASTHAN-1,"Chittaurgarh, Rajasthan",Operational,100,346,18.7,0,24.87222,75.61389,312.1,PRIS,Map
IN,INDIA,RAJASTHAN-2,"Chittaurgarh, Rajasthan",Operational,200,693,55.1,69,24.87222,75.61389,312.1,PRIS,Map
IN,INDIA,MADRAS-1,"Kanchipuram, Tamil Nadu",Operational,220,801,51.4,62.5,12.5575,80.175,-90.5,PRIS,Map
IN,INDIA,MADRAS-2,"Kanchipuram, Tamil Nadu",Operational,220,801,55.1,65.9,12.5575,80.175,-90.5,PRIS,Map
IN,INDIA,NARORA-1,"Bulandshahar, Uttar Pradesh",Operational,220,801,53,60.3,28.15806,78.40944,128.9,PRIS,Map
IN,INDIA,NARORA-2,"Bulandshahar, Uttar Pradesh",Operational,220,801,56.6,70.4,28.15806,78.40944,128.9,PRIS,Map
IN,INDIA,KAKRAPAR-1,"Surat, Maharashtra",Operational,220,801,63.5,97.2,21.23861,73.35,-13.4,PRIS,Map
IR,IRAN,BUSHEHR-1,Bushehr,Operational,1000,3000,56.3,46.5,28.8296222,50.8859611,-8.7,PRIS,Map
IT,ITALY,LATINA,"Latina, Province of Latina",Permanent Shutdown,160,660,70.3,0,41.42529,12.807246,52.1,PRIS,Map
IT,ITALY,GARIGLIANO,"Sessa Aurunca, Province of Caserta",Permanent Shutdown,160,506,39,0,41.25849,13.83492,57.3,PRIS,Map
IT,ITALY,ENRICO FERMI,"Trino, Province of Vercelli",Permanent Shutdown,270,870,45.3,0,45.1840944,8.2775556,213.8,PRIS,Map
IT,ITALY,CAORSO,"Caorso, Province of Piacenza",Permanent Shutdown,882,2651,36.7,0,45.07206,9.87214,81.7,PRIS,Map
JP,JAPAN,JPDR,Fukui Prefecture,Permanent Shutdown,13,90,0,0,35.75444,136.01639,108.8,PRIS,Map
JP,JAPAN,FUKUSHIMA-DAIICHI-3,"Futaba District, Fukushima Prefecture",Permanent Shutdown,784,2381,65.3,0,37.42139,141.0325,59.8,PRIS,Map
JP,JAPAN,HAMAOKA-1,Shizuoka Prefecture,Permanent Shutdown,540,1593,47.9,0,34.62361,138.1425,59.1,PRIS,Map
JP,JAPAN,GENKAI-1,"Higashimatsuura District, Saga Prefecture",Permanent Shutdown,559,1650,69,0,33.51556,129.83722,50.9,PRIS,Map
JP,JAPAN,TAKAHAMA-2,"Oi District, Fukui Prefecture",Operational,826,2440,62.9,0,35.5219917,135.5039556,110.1,PRIS,Map
JP,JAPAN,MIHAMA-3,"Mikata District, Fukui Prefecture",Operational,826,2440,63.2,0,35.703475,135.9635778,34.9,PRIS,Map
JP,JAPAN,OHI-1,"Oi District, Fukui Prefecture",Operational,1175,3423,59,0,35.540625,135.6520333,54.1,PRIS,Map
JP,JAPAN,FUKUSHIMA-DAIICHI-4,"Futaba District, Fukushima Prefecture",Permanent Shutdown,784,2381,70,0,37.42139,141.0325,59.8,PRIS,Map
JP,JAPAN,FUKUSHIMA-DAIICHI-5,"Futaba District, Fukushima Prefecture",Permanent Shutdown,784,2381,65.5,0,37.42306,141.03306,58.6,PRIS,Map
JP,JAPAN,FUKUSHIMA-DAIICHI-6,"Futaba District, Fukushima Prefecture",Permanent Shutdown,1100,3293,64.2,0,37.42139,141.0325,59.8,PRIS,Map
JP,JAPAN,OHI-2,"Oi District, Fukui Prefecture",Operational,1175,3423,65.4,0,35.540625,135.6520333,54.1,PRIS,Map
JP,JAPAN,TOKAI-1,"Naka District, Ibaraki Prefecture",Permanent Shutdown,166,587,70.8,0,36.46639,140.60667,44.3,PRIS,Map
JP,JAPAN,FUGEN ATR,Fukui Prefecture,Permanent Shutdown,165,557,61.9,0,35.75444,136.01639,108.8,PRIS,Map
JP,JAPAN,TOKAI-2,"Naka District, Ibaraki Prefecture",Operational,1100,3293,63.5,0,36.46639,140.60667,44.3,PRIS,Map
JP,JAPAN,ONAGAWA-1,"Oshika District, Miyagi Prefecture",Operational,524,1593,57.1,0,38.40111,141.49972,62.5,PRIS,Map
JP,JAPAN,IKATA-1,"Nishiuwa District, Ehime Prefecture",Operational,566,1650,69.6,0,33.49083,132.31139,169.2,PRIS,Map
JP,JAPAN,HAMAOKA-2,Shizuoka Prefecture,Permanent Shutdown,840,2436,59.6,0,34.62361,138.1425,59.1,PRIS,Map
JP,JAPAN,FUKUSHIMA-DAINI-1,"Futaba District, Fukushima Prefecture",Operational,1100,3293,64.7,0,37.31639,141.02556,50.6,PRIS,Map
JP,JAPAN,FUKUSHIMA-DAINI-2,"Futaba District, Fukushima Prefecture",Operational,1100,3293,63.2,0,37.31639,141.02556,50.6,PRIS,Map
JP,JAPAN,GENKAI-2,"Higashimatsuura District, Saga Prefecture",Operational,559,1650,72.6,0,33.51556,129.83722,50.9,PRIS,Map
JP,JAPAN,SENDAI-1,Kagoshima Prefecture,Operational,890,2660,73.7,0,31.83361,130.18972,44.0,PRIS,Map
JP,JAPAN,TAKAHAMA-3,"Oi District, Fukui Prefecture",Operational,870,2660,74,0,35.5219917,135.5039556,110.1,PRIS,Map
JP,JAPAN,TSURUGA-1,Fukui Prefecture,Permanent Shutdown,357,1070,60.4,0,35.75194,136.01889,107.9,PRIS,Map
JP,JAPAN,TAKAHAMA-4,"Oi District, Fukui Prefecture",Operational,870,2660,73.4,0,35.5219917,135.5039556,110.1,PRIS,Map
JP,JAPAN,MONJU,Fukui Prefecture,Long-term Shutdown,280,714,0,0,35.74028,135.98806,184.1,PRIS,Map
JP,JAPAN,IKATA-2,"Nishiuwa District, Ehime Prefecture",Operational,566,1650,72.7,0,33.49083,132.31139,169.2,PRIS,Map
JP,JAPAN,KASHIWAZAKI KARIWA-1,Niigata Prefecture,Operational,1100,3293,55.7,0,37.4283,138.6017,93.6,PRIS,Map
JP,JAPAN,TSURUGA-2,Fukui Prefecture,Operational,1160,3411,65.4,0,35.75194,136.01889,107.9,PRIS,Map
JP,JAPAN,FUKUSHIMA-DAINI-3,"Futaba District, Fukushima Prefecture",Operational,1100,3293,56.5,0,37.31639,141.02556,50.6,PRIS,Map
JP,JAPAN,HAMAOKA-3,Shizuoka Prefecture,Operational,1100,3293,64,0,34.62361,138.1425,59.1,PRIS,Map
JP,JAPAN,SENDAI-2,Kagoshima Prefecture,Operational,890,2660,75.4,0,31.83361,130.18972,44.0,PRIS,Map
JP,JAPAN,FUKUSHIMA-DAINI-4,"Futaba District, Fukushima Prefecture",Operational,1100,3293,59.9,0,37.31639,141.02556,50.6,PRIS,Map
JP,JAPAN,KASHIWAZAKI KARIWA-2,Niigata Prefecture,Operational,1100,3293,49.3,0,37.4283,138.6017,93.6,PRIS,Map
JP,JAPAN,MIHAMA-1,"Mikata District, Fukui Prefecture",Permanent Shutdown,340,1031,48.3,0,35.703475,135.9635778,34.9,PRIS,Map
JP,JAPAN,KASHIWAZAKI KARIWA-5,Niigata Prefecture,Operational,1100,3293,56,0,37.4283,138.6017,93.6,PRIS,Map
JP,JAPAN,SHIMANE-2,Shimane Prefecture,Operational,820,2436,68.5,0,35.53833,132.99917,101.8,PRIS,Map
JP,JAPAN,TOMARI-1,"Furuu District, Hokkaido Prefecture",Operational,579,1650,70.6,0,43.03611,140.5125,50.0,PRIS,Map
JP,JAPAN,TOMARI-2,"Furuu District, Hokkaido Prefecture",Operational,579,1650,69.5,0,43.03611,140.5125,50.0,PRIS,Map
JP,JAPAN,GENKAI-3,"Higashimatsuura District, Saga Prefecture",Operational,1180,3423,69.6,0,33.51556,129.83722,50.9,PRIS,Map
JP,JAPAN,GENKAI-4,"Higashimatsuura District, Saga Prefecture",Operational,1180,3423,71.9,0,33.51556,129.83722,50.9,PRIS,Map
JP,JAPAN,IKATA-3,"Nishiuwa District, Ehime Prefecture",Operational,890,2660,69.3,0,33.49083,132.31139,169.2,PRIS,Map
JP,JAPAN,SHIKA-1,"Hakui District, Ishikawa Prefecture",Operational,540,1593,55.8,0,37.06111,136.72639,73.9,PRIS,Map
JP,JAPAN,HAMAOKA-4,Shizuoka Prefecture,Operational,1137,3293,63.2,0,34.62361,138.1425,59.1,PRIS,Map
JP,JAPAN,FUKUSHIMA-DAIICHI-1,"Futaba District, Fukushima Prefecture",Permanent Shutdown,460,1380,53.3,0,37.42306,141.03306,58.6,PRIS,Map
JP,JAPAN,OHI-3,"Oi District, Fukui Prefecture",Operational,1180,3423,70.6,0,35.540625,135.6520333,54.1,PRIS,Map
JP,JAPAN,OHI-4,"Oi District, Fukui Prefecture",Operational,1180,3423,74.7,0,35.540625,135.6520333,54.1,PRIS,Map
JP,JAPAN,KASHIWAZAKI KARIWA-3,Niigata Prefecture,Operational,1100,3293,46.6,0,37.4283,138.6017,93.6,PRIS,Map
JP,JAPAN,KASHIWAZAKI KARIWA-4,Niigata Prefecture,Operational,1100,3293,44.8,0,37.4283,138.6017,93.6,PRIS,Map
JP,JAPAN,ONAGAWA-2,"Oshika District, Miyagi Prefecture",Operational,825,2436,55.9,0,38.40111,141.49972,62.5,PRIS,Map
JP,JAPAN,KASHIWAZAKI KARIWA-6,Niigata Prefecture,Operational,1356,3926,58.8,0,37.4283,138.6017,93.6,PRIS,Map
JP,JAPAN,KASHIWAZAKI KARIWA-7,Niigata Prefecture,Operational,1356,3926,53.5,0,37.4283,138.6017,93.6,PRIS,Map
JP,JAPAN,ONAGAWA-3,"Oshika District, Miyagi Prefecture",Operational,825,2436,45.3,0,38.40111,141.49972,62.5,PRIS,Map
JP,JAPAN,MIHAMA-2,"Mikata District, Fukui Prefecture",Permanent Shutdown,500,1456,57.7,0,35.703475,135.9635778,34.9,PRIS,Map
JP,JAPAN,SHIMANE-1,Shimane Prefecture,Permanent Shutdown,460,1380,64.1,0,35.53833,132.99917,101.8,PRIS,Map
JP,JAPAN,TAKAHAMA-1,"Oi District, Fukui Prefecture",Operational,826,2440,62,0,35.5219917,135.5039556,110.1,PRIS,Map
JP,JAPAN,FUKUSHIMA-DAIICHI-2,"Futaba District, Fukushima Prefecture",Permanent Shutdown,784,2381,60.8,0,37.42306,141.03306,58.6,PRIS,Map
KR,SOUTH KOREA,KORI-1,Busan,Operational,608,1729,75.4,82.6,35.319904,129.290053,34.2,PRIS,Map
KR,SOUTH KOREA,HANUL-2,Gyeongsangbuk-do,Operational,1008,2775,89.2,99.8,37.09278,129.38361,66.9,PRIS,Map
KR,SOUTH KOREA,HANBIT-3,Jeollanam-do,Operational,1050,2825,87.1,57.6,35.415,126.42389,81.3,PRIS,Map
KR,SOUTH KOREA,HANBIT-4,Jeollanam-do,Operational,1032,2825,89.4,62.9,35.415,126.42389,81.3,PRIS,Map
KR,SOUTH KOREA,HANUL-3,Gyeongsangbuk-do,Operational,1050,2825,88.2,99.8,37.09278,129.38361,82.0,PRIS,Map
KR,SOUTH KOREA,HANUL-4,Gyeongsangbuk-do,Operational,1053,2825,81.6,83.7,37.09278,129.38361,82.0,PRIS,Map
KR,SOUTH KOREA,WOLSONG-3,Gyeongsangbuk-do,Operational,688,2061,94.1,94.9,35.71667,129.47778,110.6,PRIS,Map
KR,SOUTH KOREA,WOLSONG-4,Gyeongsangbuk-do,Operational,691,2061,94.8,87.3,35.71667,129.47778,110.6,PRIS,Map
KR,SOUTH KOREA,HANBIT-5,Jeollanam-do,Operational,1053,2825,87.3,80.4,35.415,126.42389,72.2,PRIS,Map
KR,SOUTH KOREA,HANBIT-6,Jeollanam-do,Operational,1052,2825,89.5,92,35.415,126.42389,72.2,PRIS,Map
KR,SOUTH KOREA,HANUL-5,Gyeongsangbuk-do,Operational,1051,2815,92.6,99.4,37.09278,129.38361,82.0,PRIS,Map
KR,SOUTH KOREA,KORI-2,Busan,Operational,676,1882,87.8,79.3,35.319904,129.290053,31.3,PRIS,Map
KR,SOUTH KOREA,HANUL-6,Gyeongsangbuk-do,Operational,1051,2825,91,74,37.09278,129.38361,82.0,PRIS,Map
KR,SOUTH KOREA,WOLSONG-1,Gyeongsangbuk-do,Operational,685,2061,74.2,53.2,35.71667,129.47778,110.6,PRIS,Map
KR,SOUTH KOREA,WOLSONG-2,Gyeongsangbuk-do,Operational,675,2061,93.4,90.1,35.71667,129.47778,110.6,PRIS,Map
KR,SOUTH KOREA,KORI-3,Busan,Operational,1042,2912,88.5,80.8,35.319904,129.290053,31.3,PRIS,Map
KR,SOUTH KOREA,KORI-4,Busan,Operational,1041,2912,90.5,96.6,35.319904,129.290053,31.3,PRIS,Map
KR,SOUTH KOREA,HANBIT-1,Jeollanam-do,Operational,1000,2787,90.2,82.3,35.415,126.42389,72.2,PRIS,Map
KR,SOUTH KOREA,HANBIT-2,Jeollanam-do,Operational,993,2787,88,92.2,35.415,126.42389,72.2,PRIS,Map
KR,SOUTH KOREA,HANUL-1,Gyeongsangbuk-do,Operational,1003,2785,87.2,88.1,37.09278,129.38361,82.0,PRIS,Map
KZ,KAZAKHSTAN,AKTAU,Munaily District,Permanent Shutdown,90,1000,0,0,43.607,51.283,-26.5,PRIS,Map
LT,LITHUANIA,IGNALINA-1,Rimšės sen.,Permanent Shutdown,1300,4800,53.9,0,55.60444,26.56,169.6,PRIS,Map
LT,LITHUANIA,IGNALINA-2,Rimšės sen.,Permanent Shutdown,1300,4800,64.4,0,55.60444,26.56,169.6,PRIS,Map
MX,MEXICO,LAGUNA VERDE-1,"Alto Lucero de Gutiérrez Barrios, Ver.",Operational,700,2027,76.9,81.4,19.72083,-96.40639,-12.6,PRIS,Map
